TIME;ID;MAP NUMBER;ITERATION;DESCRIPTION;TIME ARRAY;SEQUENCE ARRAY;COST;VALID;COMPLETE
2017-09-26T14:18:50.810139;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-26T14:18:52.178128;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-26T14:18:55.522015;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-26T14:18:56.915702;;;;Add button clicked! Item is Flock North;;;;;;
2017-09-26T14:18:58.266158;;;;Sequence table clicked! Item is Flock East;;;;;;
2017-09-26T14:18:59.635016;;;;Delete button clicked! Item is Flock East;;;;;;
2017-09-26T14:18:59.851185;;;;Delete button clicked! Item is Flock East;;;;;;
2017-09-26T14:19:01.769936;;;;Sequence table clicked! Item is ;;;;;;
2017-09-26T14:19:02.755094;;;;Add button clicked! Item is Flock North;;;;;;
2017-09-26T14:19:05.699041;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-26T14:19:06.730219;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-26T14:19:07.547237;;;;Add button clicked! Item is Flocking;;;;;;
2017-09-26T14:19:08.753990;;;;Sequence table clicked! Item is ;;;;;;
2017-09-26T14:19:17.594113;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-26T14:19:18.795098;;;;Add button clicked! Item is Flock East;;;;;;
2017-09-26T14:19:19.665938;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-26T14:19:23.316711;01;;2;Submit Clicked;8,13,22;n,i,e;;;;
2017-09-26T14:19:25.003991;01;;2;Submit Clicked;8,13,22;n,i,e;;;;
2017-09-26T14:19:25.004417;01;;2;Run Clicked;8,13,22;n,i,e;;;;
2017-09-26T14:19:25.038363;01;0;3;Sequence Generated;8,13,22;Flock North->Flocking->Flock East;100000.000000;INVALID;INCOMPLETE;
2017-09-26T14:19:51.321845;;;;Sequence table clicked! Item is Flock North;;;;;;
2017-09-26T14:19:55.243057;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-26T14:19:57.209879;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-26T14:19:59.043180;;;;Add button clicked! Item is Flock East;;;;;;
2017-09-26T14:20:00.401967;;;;Sequence table clicked! Item is Flocking;;;;;;
2017-09-26T14:20:01.738745;;;;Delete button clicked! Item is Flocking;;;;;;
2017-09-26T14:20:02.082763;;;;Delete button clicked! Item is Flock East;;;;;;
2017-09-26T14:20:03.577848;;;;Sequence table clicked! Item is ;;;;;;
2017-09-26T14:20:06.769974;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-26T14:20:07.707049;;;;Add button clicked! Item is Flocking;;;;;;
2017-09-26T14:20:08.298085;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-26T14:20:13.274128;;;;Sequence table clicked! Item is ;;;;;;
2017-09-26T14:20:15.025837;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-26T14:20:16.138800;;;;Add button clicked! Item is Flock North;;;;;;
2017-09-26T14:20:17.101817;01;;3;Submit Clicked;8,11,20;e,i,n;;;;
2017-09-26T14:20:20.283925;01;;3;Submit Clicked;8,11,20;e,i,n;;;;
2017-09-26T14:20:20.284216;01;;3;Run Clicked;8,11,20;e,i,n;;;;
2017-09-26T14:20:20.336311;01;0;4;Sequence Generated;8,11,20;Flock East->Flocking->Flock North;638.886841;VALID;INCOMPLETE;
2017-09-26T14:20:26.122061;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-26T14:20:29.375020;01;;4;Submit Clicked;6,9,18;e,i,n;;;;
2017-09-26T14:20:30.347777;01;;4;Submit Clicked;6,9,18;e,i,n;;;;
2017-09-26T14:20:30.348043;01;;4;Run Clicked;6,9,18;e,i,n;;;;
2017-09-26T14:20:30.384991;01;0;5;Sequence Generated;6,9,18;Flock East->Flocking->Flock North;569.349609;VALID;INCOMPLETE;
2017-09-26T14:20:36.145798;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-26T14:20:38.090730;;;;Delete button clicked! Item is Flocking;;;;;;
2017-09-26T14:20:41.810255;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-26T14:20:49.290108;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-26T14:20:52.310237;01;;5;Submit Clicked;6,15;e,n;;;;
2017-09-26T14:20:53.387477;01;;5;Submit Clicked;6,15;e,n;;;;
2017-09-26T14:20:53.387753;01;;5;Run Clicked;6,15;e,n;;;;
2017-09-26T14:20:53.422774;01;0;6;Sequence Generated;6,15;Flock East->Flock North;536.846436;VALID;INCOMPLETE;
2017-09-26T14:21:07.786004;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-26T14:21:25.594036;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-26T14:21:26.786121;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-26T14:21:27.794799;;;;Add button clicked! Item is Rendezvous;;;;;;
2017-09-26T14:21:31.490144;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-26T14:21:34.013608;01;;6;Submit Clicked;6,12,16;e,n,r;;;;
2017-09-26T14:21:35.203989;01;;6;Submit Clicked;6,12,16;e,n,r;;;;
2017-09-26T14:21:35.204380;01;;6;Run Clicked;6,12,16;e,n,r;;;;
2017-09-26T14:21:35.248916;01;0;7;Sequence Generated;6,12,16;Flock East->Flock North->Rendezvous;521.411194;VALID;COMPLETE;
2017-09-26T14:21:58.318364;01;;;Next Clicked;;;;;;
2017-09-26T14:22:08.281829;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-26T14:22:09.747963;;;;Add button clicked! Item is Flock North;;;;;;
2017-09-26T14:22:12.161980;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-26T14:22:17.674043;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-26T14:22:20.002957;;;;Add button clicked! Item is Flock East;;;;;;
2017-09-26T14:22:21.129763;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-26T14:22:24.793806;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-26T14:22:25.810719;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-26T14:22:26.675849;;;;Add button clicked! Item is Rendezvous;;;;;;
2017-09-26T14:22:27.090982;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-26T14:22:29.935101;01;;0;Submit Clicked;7,10,14;n,e,r;;;;
2017-09-26T14:22:30.947975;01;;0;Submit Clicked;7,10,14;n,e,r;;;;
2017-09-26T14:22:30.948267;01;;0;Run Clicked;7,10,14;n,e,r;;;;
2017-09-26T14:22:30.994774;01;1;1;Sequence Generated;7,10,14;Flock North->Flock East->Rendezvous;385.520935;VALID;INCOMPLETE;
2017-09-26T14:22:36.554039;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
