TIME;ID;MAP NUMBER;ITERATION;DESCRIPTION;TIME ARRAY;SEQUENCE ARRAY;COST;VALID;COMPLETE
2017-09-30T14:28:54.384407;17;0;4;Sequence Generated;5,10,15;Flock East->Flocking->Flock North;390.507843;VALID;INCOMPLETE;
2017-09-30T14:29:04.262569;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:29:06.390811;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:29:06.590771;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:29:07.798541;;;;Sequence table clicked! Item is Flocking;;;;;;
2017-09-30T14:30:01.662743;;;;Sequence table clicked! Item is Flock East;;;;;;
2017-09-30T14:30:24.278602;;;;Sequence table clicked! Item is Flocking;;;;;;
2017-09-30T14:30:30.406679;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-30T14:30:34.878573;;;;Sequence table clicked! Item is Flocking;;;;;;
2017-09-30T14:30:35.022707;;;;Sequence table clicked! Item is Flocking;;;;;;
2017-09-30T14:30:42.974829;;;;Sequence table clicked! Item is Flock East;;;;;;
2017-09-30T14:30:44.567802;;;;Delete button clicked! Item is Flock East;;;;;;
2017-09-30T14:30:44.767811;;;;Delete button clicked! Item is Flocking;;;;;;
2017-09-30T14:30:44.927536;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-30T14:30:45.470908;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:30:48.367835;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:30:54.734892;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:30:55.582709;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:30:55.750821;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:30:57.734882;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:30:58.598856;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:30:59.279169;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-30T14:30:59.742909;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:31:01.254897;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:31:01.886876;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:31:02.294853;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:31:03.286834;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:31:04.687188;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:31:06.462615;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:31:09.030898;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:31:09.919960;;;;Add button clicked! Item is Flock North;;;;;;
2017-09-30T14:31:10.950902;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:31:18.631926;;;;Add button clicked! Item is Flock North;;;;;;
2017-09-30T14:31:24.774840;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:31:30.958925;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:31:31.599747;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:31:34.311765;17;;4;Submit Clicked;5,10;n,n;;;;
2017-09-30T14:31:37.536624;17;;4;Submit Clicked;5,10;n,n;;;;
2017-09-30T14:31:37.536910;17;;4;Run Clicked;5,10;n,n;;;;
2017-09-30T14:31:40.560247;17;0;5;Sequence Generated;5,10;Flock North->Flock North;100000.000000;INVALID;INCOMPLETE;
2017-09-30T14:31:49.470854;;;;Sequence table clicked! Item is Flock North;;;;;;
2017-09-30T14:31:50.783745;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-30T14:31:53.462695;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-30T14:31:54.502693;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-30T14:31:55.287909;;;;Add button clicked! Item is Flock East;;;;;;
2017-09-30T14:31:57.704618;17;;5;Submit Clicked;5,10;n,e;;;;
2017-09-30T14:31:58.865827;17;;5;Submit Clicked;5,10;n,e;;;;
2017-09-30T14:31:58.866099;17;;5;Run Clicked;5,10;n,e;;;;
2017-09-30T14:32:01.904666;17;0;6;Sequence Generated;5,10;Flock North->Flock East;100000.000000;INVALID;INCOMPLETE;
2017-09-30T14:32:08.054619;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-30T14:32:10.511979;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-30T14:32:16.202429;17;;6;Submit Clicked;10,15;n,e;;;;
2017-09-30T14:32:18.760298;17;;6;Submit Clicked;10,15;n,e;;;;
2017-09-30T14:32:18.760650;17;;6;Run Clicked;10,15;n,e;;;;
