TIME;ID;MAP NUMBER;ITERATION;DESCRIPTION;TIME ARRAY;SEQUENCE ARRAY;COST;VALID;COMPLETE
2017-09-29T13:03:26.579413;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-29T13:03:27.355127;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-29T13:03:27.851417;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-29T13:03:28.643089;;;;Behavior table clicked! Item is Flock West;;;;;;
2017-09-29T13:03:32.396398;;;;Add button clicked! Item is Flock West;;;;;;
2017-09-29T13:03:34.643179;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-29T13:03:37.891257;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-29T13:03:38.780263;;;;Add button clicked! Item is Flock North;;;;;;
2017-09-29T13:03:39.283442;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-29T13:04:04.539413;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-29T13:04:05.363402;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-29T13:04:07.155550;;;;Behavior table clicked! Item is Flock West;;;;;;
2017-09-29T13:04:14.987040;;;;Behavior table clicked! Item is Antirendezvous;;;;;;
2017-09-29T13:04:23.162607;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-29T13:04:51.809772;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-29T13:04:52.658810;;;;Add button clicked! Item is Flock North;;;;;;
2017-09-29T13:04:53.465555;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-29T13:04:55.635458;12;;0;Submit Clicked;5,10,15;w,n,n;;;;
2017-09-29T13:05:12.714139;12;;0;Submit Clicked;5,10,15;w,n,n;;;;
2017-09-29T13:05:12.714352;12;;0;Run Clicked;5,10,15;w,n,n;;;;
2017-09-29T13:05:18.264010;12;0;1;Sequence Generated;5,10,15;Flock West->Flock North->Flock North;434.518555;VALID;INCOMPLETE;
2017-09-29T13:06:43.631039;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-29T13:06:47.127423;;;;Sequence table clicked! Item is Flock North;;;;;;
2017-09-29T13:06:48.278598;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-29T13:06:49.085744;;;;Sequence table clicked! Item is Flock West;;;;;;
2017-09-29T13:06:50.118897;;;;Delete button clicked! Item is Flock West;;;;;;
2017-09-29T13:07:06.597560;;;;Behavior table clicked! Item is Flock West;;;;;;
2017-09-29T13:07:13.917197;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-29T13:07:15.022261;;;;Add button clicked! Item is Flock East;;;;;;
2017-09-29T13:07:33.476826;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-29T13:07:38.797584;;;;Add button clicked! Item is Flock North;;;;;;
2017-09-29T13:07:42.556294;;;;Sequence table clicked! Item is Flock North;;;;;;
2017-09-29T13:07:43.517194;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-29T13:07:45.388600;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-29T13:07:46.701269;;;;Add button clicked! Item is Flock East;;;;;;
2017-09-29T13:07:51.404361;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-29T13:07:52.421117;;;;Add button clicked! Item is Flock North;;;;;;
2017-09-29T13:07:53.868310;;;;Sequence table clicked! Item is ;;;;;;
2017-09-29T13:07:56.557179;;;;Add button clicked! Item is Flock North;;;;;;
2017-09-29T13:07:57.116017;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-29T13:08:00.943000;12;;1;Submit Clicked;5,10,15,20;e,e,n,n;;;;
2017-09-29T13:08:00.943401;12;;1;Run Clicked;5,10,15,20;e,e,n,n;;;;
2017-09-29T13:08:05.974723;12;0;2;Sequence Generated;5,10,15,20;Flock East->Flock East->Flock North->Flock North;731.526306;VALID;INCOMPLETE;
2017-09-29T13:08:13.731580;;;;Sequence table clicked! Item is Duration for (row,col) (4,1);;;;;;
2017-09-29T13:08:14.123564;;;;Sequence table clicked! Item is ;;;;;;
2017-09-29T13:08:17.083911;;;;Behavior table clicked! Item is Flock West;;;;;;
2017-09-29T13:08:18.852396;;;;Add button clicked! Item is Flock West;;;;;;
2017-09-29T13:08:21.699590;;;;Sequence table clicked! Item is Duration for (row,col) (4,1);;;;;;
2017-09-29T13:08:23.515301;;;;Sequence table clicked! Item is ;;;;;;
2017-09-29T13:08:27.379480;;;;Behavior table clicked! Item is Flock South;;;;;;
2017-09-29T13:08:28.828228;;;;Add button clicked! Item is Flock South;;;;;;
2017-09-29T13:08:29.443393;;;;Sequence table clicked! Item is Duration for (row,col) (5,1);;;;;;
2017-09-29T13:08:30.919448;12;;2;Submit Clicked;5,10,15,20,25,30;e,e,n,n,w,s;;;;
2017-09-29T13:08:35.549565;12;;2;Submit Clicked;5,10,15,20,25,30;e,e,n,n,w,s;;;;
2017-09-29T13:08:35.549886;12;;2;Run Clicked;5,10,15,20,25,30;e,e,n,n,w,s;;;;
2017-09-29T13:08:42.584147;12;0;3;Sequence Generated;5,10,15,20,25,30;Flock East->Flock East->Flock North->Flock North->Flock West->Flock South;1016.625427;VALID;INCOMPLETE;
2017-09-29T13:08:51.299870;;;;Delete button clicked! Item is Flock South;;;;;;
